BP_RS02425	msrQ
BP_RS02430	BP_RS02430
BP_RS02440	BP_RS02440
BP_RS02445	BP_RS02445
BP_RS02455	BP_RS02455
BP_RS02460	BP_RS02460
BP_RS02465	BP_RS02465
BP_RS02470	gyrB
BP_RS02475	dnaN
BP_RS02480	dnaA
BP_RS02485	rpmH
BP_RS02490	BP_RS02490
BP_RS02495	yidD
BP_RS02500	yidC
BP_RS02505	BP_RS02505
BP_RS02515	BP_RS02515
BP_RS02520	BP_RS02520
BP_RS02525	bopC
BP_RS02535	BP_RS02535
BP_RS02540	BP_RS02540
BP_RS02545	BP_RS02545
BP_RS02550	BP_RS02550
BP_RS02555	BP_RS02555
BP_RS02560	BP_RS02560
BP_RS02565	BP_RS02565
BP_RS02570	BP_RS02570
BP_RS02575	BP_RS02575
BP_RS20015	BP_RS20015
BP_RS02585	BP_RS02585
BP_RS02590	BP_RS02590
BP_RS02600	BP_RS02600
BP_RS02605	BP_RS02605
BP_RS02610	BP_RS02610
BP_RS02615	BP_RS02615
BP_RS02620	BP_RS02620
BP_RS02625	BP_RS02625
BP_RS02630	BP_RS02630
BP_RS02635	BP_RS02635
BP_RS02640	BP_RS02640
BP_RS02650	BP_RS02650
BP_RS02655	BP_RS02655
BP_RS02660	batB
BP_RS02665	BP_RS02665
BP_RS02670	BP_RS02670
BP_RS02675	BP_RS02675
BP_RS02680	BP_RS02680
BP_RS02685	BP_RS02685
BP_RS02690	BP_RS02690
BP_RS02695	BP_RS02695
BP_RS02700	BP_RS02700
BP_RS02705	rocF
BP_RS02710	rocD
BP_RS02715	BP_RS02715
BP_RS02720	BP_RS02720
BP_RS02725	BP_RS02725
BP_RS02730	BP_RS02730
BP_RS02735	BP_RS02735
BP_RS02740	rimO
BP_RS02745	BP_RS02745
BP_RS02750	BP_RS02750
BP_RS02755	BP_RS02755
BP_RS02760	BP_RS02760
BP_RS02765	BP_RS02765
BP_RS02770	fmt
BP_RS02775	def
BP_RS02780	kynU
BP_RS02785	BP_RS02785
BP_RS02790	dprA
BP_RS02795	BP_RS02795
BP_RS02800	BP_RS02800
BP_RS02805	BP_RS02805
BP_RS02810	BP_RS02810
BP_RS02820	BP_RS02820
BP_RS02825	BP_RS02825
BP_RS02830	BP_RS02830
BP_RS02835	BP_RS02835
BP_RS02840	BP_RS02840
BP_RS02845	BP_RS02845
BP_RS02850	BP_RS02850
BP_RS02855	BP_RS02855
BP_RS02860	rsmB
BP_RS02865	BP_RS02865
BP_RS02870	plrS
BP_RS02875	plrR
BP_RS02880	trkA
BP_RS02885	BP_RS02885
BP_RS02890	BP_RS02890
BP_RS02895	BP_RS02895
BP_RS02900	BP_RS02900
BP_RS02905	BP_RS02905
BP_RS02910	BP_RS02910
BP_RS02920	BP_RS02920
BP_RS02925	BP_RS02925
BP_RS02930	BP_RS02930
BP_RS02935	BP_RS02935
BP_RS02940	BP_RS02940
BP_RS02945	BP_RS02945
BP_RS02950	BP_RS02950
BP_RS02955	BP_RS02955
BP_RS02960	BP_RS02960
BP_RS02965	BP_RS02965
BP_RS02970	BP_RS02970
BP_RS02975	BP_RS02975
BP_RS02980	BP_RS02980
BP_RS02985	BP_RS02985
BP_RS02990	BP_RS02990
BP_RS02995	BP_RS02995
BP_RS03000	BP_RS03000
BP_RS03005	BP_RS03005
BP_RS03010	BP_RS03010
BP_RS03015	BP_RS03015
BP_RS03020	BP_RS03020
BP_RS03025	secB
BP_RS03030	grxC
BP_RS03035	BP_RS03035
BP_RS03040	gpmA
BP_RS03045	BP_RS03045
BP_RS03050	cptA
BP_RS03055	moeB
BP_RS03060	BP_RS03060
BP_RS03065	BP_RS03065
BP_RS03070	BP_RS03070
BP_RS03080	BP_RS03080
BP_RS03085	BP_RS03085
BP_RS03090	BP_RS03090
BP_RS03095	lpdA
BP_RS03100	BP_RS03100
BP_RS03105	BP_RS03105
BP_RS03110	BP_RS03110
BP_RS03115	BP_RS03115
	
BP_RS03125	BP_RS03125
BP_RS03130	BP_RS03130
BP_RS03135	BP_RS03135
BP_RS03140	BP_RS03140
BP_RS03145	BP_RS03145
BP_RS03150	BP_RS03150
BP_RS03155	BP_RS03155
BP_RS03160	BP_RS03160
BP_RS03165	BP_RS03165
BP_RS03170	BP_RS03170
BP_RS03175	BP_RS03175
BP_RS03180	BP_RS03180
BP_RS03185	BP_RS03185
BP_RS03190	BP_RS03190
BP_RS03195	BP_RS03195
BP_RS03200	BP_RS03200
BP_RS03205	BP_RS03205
BP_RS03210	BP_RS03210
BP_RS03215	BP_RS03215
BP_RS03220	BP_RS03220
BP_RS03225	BP_RS03225
BP_RS03230	BP_RS03230
BP_RS03235	BP_RS03235
BP_RS03250	BP_RS03250
BP_RS03255	BP_RS03255
BP_RS03260	dld
BP_RS03265	BP_RS03265
BP_RS03270	BP_RS03270
BP_RS03275	BP_RS03275
BP_RS03280	argE
BP_RS03285	BP_RS03285
BP_RS03290	BP_RS03290
BP_RS03295	BP_RS03295
BP_RS03300	BP_RS03300
BP_RS03305	BP_RS03305
BP_RS03310	BP_RS03310
BP_RS03315	BP_RS03315
BP_RS03320	BP_RS03320
BP_RS03325	BP_RS03325
BP_RS03330	BP_RS03330
BP_RS03335	glmS
BP_RS03340	BP_RS03340
BP_RS03345	BP_RS03345
BP_RS03350	BP_RS03350
BP_RS03355	BP_RS03355
BP_RS03360	BP_RS03360
BP_RS03365	BP_RS03365
BP_RS03370	BP_RS03370
BP_RS03375	BP_RS03375
BP_RS03380	BP_RS03380
BP_RS03385	BP_RS03385
BP_RS03390	BP_RS03390
BP_RS03395	hemA
BP_RS03400	prfA
BP_RS03405	prmC
BP_RS03410	grxD
BP_RS03415	BP_RS03415
BP_RS03420	BP_RS03420
BP_RS03425	BP_RS03425
BP_RS19730	BP_RS19730
BP_RS03435	BP_RS03435
	
	
BP_RS03450	BP_RS03450
BP_RS03455	BP_RS03455
BP_RS03460	rapZ
BP_RS03470	BP_RS03470
BP_RS03475	hprK
BP_RS03480	BP_RS03480
BP_RS03490	lptB
